memno,date,code,amount,
60,1998/10/31,A1,750,
60,1998/11/28,A1,800,
60,1998/12/24,A1,850,
60,1999/1/30,A1,900,
60,1999/2/27,A1,600,
60,1999/3/31,A1,650,
60,1999/4/30,A1,700,
60,1999/5/29,A1,750,
60,1999/6/30,A1,800,
60,1999/7/19,C0,7776.4,
60,1999/7/19,H0,25,
60,1999/7/31,A1,600,
60,1999/8/31,A1,650,
60,1999/9/30,A1,700,
60,1999/10/30,A1,750,
60,1999/11/30,A1,667,
60,1999/12/24,A1,650,
60,2000/1/29,A1,600,
60,2000/3/16,A3,650,
60,2000/3/31,A1,700,
60,2000/4/29,A1,750,
60,2000/5/31,A1,800,
60,2000/6/30,A1,850,
60,2000/7/29,A1,600,
60,2000/7/31,C0,8743,
60,2000/7/31,H0,25,
60,2000/8/31,A1,662.5,
60,2000/9/30,A1,725,
60,2000/10/31,A1,787.5,
60,2000/11/30,A1,850,
60,2000/12/23,A1,912.5,
60,2001/1/20,A1,975,
60,2001/2/28,A1,600,
60,2001/3/31,A1,650,
60,2001/4/28,A1,700,
60,2001/5/31,A1,750,
60,2001/6/30,A1,790,
60,2001/7/31,A1,830.62,
60,2001/5/8,C0,9791,
60,2001/6/8,C1,-9791,
60,2001/7/8,H0,25,
60,2001/8/8,H0,-25,
60,2001/8/31,A1,600,
60,2001/9/30,A1,600,
60,2001/10/31,A1,600,
60,2001/11/30,A1,600,
60,2001/12/22,A1,600,
60,2002/1/31,A1,600,
60,2002/2/28,A1,600,
60,2002/3/28,A1,600,
60,2002/11/5,A3,600,
60,2002/5/31,A1,600,
60,2002/6/29,A1,600,
60,2002/7/31,A1,600,
60,2002/8/31,A1,600,
60,2002/4/9,C3,8615.08,
60,2002/6/9,C1,-8615.08,
60,2002/6/9,H0,25,
60,2002/7/9,H0,-25,
60,2002/9/28,A1,600,
60,2002/10/31,A1,600,
60,2002/11/30,A1,600,
60,2002/12/24,A1,600,
60,2003/1/25,A1,600,
60,2003/2/28,A1,600,
60,2003/3/29,A1,600,
60,2003/4/30,A1,600,
60,2003/5/31,A1,600,
